Year,AUS,AUT,BEL,CAN,CHE,CHL,DEU,DNK,ESP,FIN,FRA,GBR,GRC,IRL,ITA,JPN,MEX,NLD,NOR,NZL,PRT,SWE,USA,,Euro Area
1890,5.4392529894315,6.142431825841726,7.2150351844874585,6.701845868838121,7.316726119324456,4.0363602015465,7.735100917095202,7.9829275707060985,7.362284992358576,6.828889058162189,7.314285104761186,7.571498184298608,8.00782896371342,9.144179514913558,6.382352712902552,6.1627016001905535,4.540893659333806,8.236878226406981,6.8065947766998445,5.910922316712036,7.912433788173011,6.440840608228532,7.921690516623514,,6.317729188234812
1891,5.573966992489412,5.986817949890523,7.254717944111045,6.782342848575785,7.09211886905548,4.194891529875143,7.6728004174159725,8.012031610994388,7.629233194302874,6.601878429540737,7.2969427411889525,7.481085733305767,8.189076939871729,9.147601105789212,6.619899136707212,5.920843358531196,4.334116839190577,7.815613033265448,6.791106129250733,5.906530203805356,7.917641320820011,6.446074338129091,7.872299162102267,,6.3391641342326
1892,5.978842864369557,5.92074801774965,7.2881355572692135,6.931806559730117,6.931050336598546,4.000581620303844,7.674649443263126,7.985221204487,8.010205032179075,6.567574159766758,7.317164426947044,7.404867277125401,8.312847251447709,9.167283643869162,6.887716659691115,5.902833980224707,4.501502761716536,7.751793355521842,6.779610613213607,5.956538167583049,7.937471782744196,6.557141546074757,7.83277975171335,,6.442765520604133
1893,6.4809901252054605,5.840807986017175,7.324413515315701,7.098074135557819,6.735508381727523,4.160977916759245,7.691126836822636,7.857859772900172,8.253648839135018,6.704550472173942,7.38531630371419,7.401902606409012,8.368678468255464,9.17597256288891,7.1209410761761704,5.752603928903584,4.776620450014446,7.712258337687451,6.852855139010993,6.034488029488581,7.947304598878898,6.8193844107300015,7.765955358824777,,6.534026381843745
1894,6.883957435107683,5.715628381959414,7.362544666757469,7.336315894744503,6.5127092726058775,4.292108807515278,7.729977243556483,7.743881699582204,8.575087128316008,6.882549429583348,7.418034172142134,7.368220434255233,8.400481935887495,9.091038812198024,7.215749197233343,5.369459617321487,5.0024137170066085,7.747678970880907,6.85480455671767,6.145664472975199,7.977905794718187,6.948347051849489,7.924096127266075,,6.574342415601159
1895,7.329884234681891,5.67161321548301,7.399442171967691,7.501837845368769,6.263944376917295,4.410469413027269,7.588887366892015,7.523463660012624,8.630147696519346,6.879613260885244,7.459623368762932,7.232303839246169,8.464959597755088,9.011043857706163,7.268442837703094,5.218823432103389,4.969110119040603,7.728237045524046,6.857128154404511,6.237843620975666,7.976425501772055,7.07443055226564,7.917949777999492,,6.595034003971451
1896,7.550379912337719,5.6216571978659005,7.425515600682308,7.715781853229614,5.977710726211093,4.770467531179284,7.2238742345211815,7.140682664882393,8.740600534276373,6.605532265463577,7.49146549461072,7.153398715636936,8.439643226022852,8.878659364042372,7.229328985167381,4.990849139805843,4.88913679604216,7.691934382512064,6.8110822589407105,6.402131545225811,7.9743189019638985,6.943305117778524,7.7085308917614075,,6.532314148937124
1897,7.952055353184907,5.6025160419497695,7.448566408604647,7.7535663678355276,5.714747871750728,5.351974171927446,6.812164219852898,6.827531736705997,8.67536649705104,6.3609037152324595,7.534499217329162,7.024952319947888,8.563769011654577,8.734457906283449,7.149364568271461,4.857742472125667,4.787021281886869,7.428590497620304,6.757447778493783,6.142749461019989,7.9331468797045614,6.825560062425627,7.8275492108819815,,6.46186599329193
1898,8.046611821596452,5.596437373857051,7.470664713461467,7.569722265083354,5.551959728720765,5.906406940274066,6.2775484893154925,6.28479755531833,8.829147614139309,5.821135112717396,7.541644220671271,6.7808148807269575,8.605289138656024,8.506742454045028,7.076195790526468,4.844654034120629,4.642683040122069,7.196305513104176,6.657327816708551,6.201689315159558,7.881702781126838,6.421647153924149,7.881063190539083,,6.3444783279500845
1899,8.169906952438192,5.6007631341547395,7.488720655225565,7.364674885376253,5.407481037373334,6.154211274188866,5.927018410059117,5.864649992230114,7.603467686132849,5.481761439337756,7.436343926795095,6.543838946287674,8.624345879410038,8.190692901381487,6.964832705373317,5.225207606032612,4.410452035950555,6.8107034956616985,6.511919168581053,6.256942304183458,7.822052845476987,6.054736155810546,7.712402799418685,,6.17694542437879
1900,8.364242871890324,5.624406051406363,7.495411316017658,7.171563742599016,5.496498132419812,6.104926073954879,5.7636136227379415,5.840910817403266,6.718087862586863,5.440964991145008,7.196048051266441,6.379656451806079,8.738571414576448,7.849209152984648,6.833463753955892,5.471725330957062,4.218056416073167,6.6084420987646775,6.558175254765189,6.280452973179937,7.744006759035266,5.91424832660523,7.407395296402505,,6.028412635675007
