Year,AUS,AUT,BEL,CAN,CHE,CHL,DEU,DNK,ESP,FIN,FRA,GBR,GRC,IRL,ITA,JPN,MEX,NLD,NOR,NZL,PRT,SWE,USA,,Euro Area
1890,8773.621381590732,4831.877350398852,4593.012106007458,4520.862867587714,8291.383494376041,2124.391865754497,5917.076198756763,4596.498656047919,4037.5808001037226,2391.27998014053,4104.379483314554,5884.656194123023,6003.449386030624,3520.5556773982926,3478.9082248680033,1761.0574071716865,2821.3458433678084,6558.9949703269,4289.836699428058,6504.728714457846,2309.6834561782043,3085.893905924338,4705.821445899065,,4563.542476174469
1891,9184.546913529826,4966.374691306243,4531.89920918275,4578.55094733442,7783.766211994666,2269.3457346990817,5886.166374876408,4654.675889145886,4111.133322537647,2336.500648002012,4148.0679053698395,5835.308646016124,5180.4028382197075,3571.2229789030284,3524.5671770891713,1664.465268298837,2895.986378268819,6363.917982185117,4296.841694511812,6583.929639121932,2251.4514527387464,3024.271294143097,4756.665751519883,,4557.822128404373
1892,7863.80325452415,5044.792028776452,4577.673020180381,4506.534722881154,8357.129982537892,2196.933738867397,5908.525376112379,4732.299808864117,4399.716802274088,2212.836157364998,4234.597867500185,5646.161692043155,5349.662390728217,3628.974092654641,3528.726821295574,1762.3675424816602,2967.481444754036,6394.369498323167,4350.852098785451,6606.464966118186,2225.9421435378454,3180.9463255798723,4869.744336129497,,4625.906783102966
1893,7297.826135759799,5037.894632778473,4578.748374165291,4435.938376670261,8584.418396132778,2278.5453754519294,6275.039867901259,4788.673087913403,4226.817396512649,2318.94104085257,4073.6749545129287,5593.939463870452,5635.670320197953,3672.6735642340745,3582.4626059293646,1754.8243448455812,3036.6415026513937,6387.011544763568,4440.119059562063,6761.677953837025,2254.5346409862336,3313.2439622419733,4752.790765921943,,4699.298939021397
1894,7411.350491669937,5283.105231425981,4579.134233016304,4600.855868223449,8285.55167759857,2214.786453481306,6404.765138114485,4840.936454243961,4255.146960922369,2420.190346790514,4468.94337399448,5914.167902243364,5704.994065408974,3709.59918329014,3604.6059133671106,1948.0912284114277,3102.80318125372,6460.287510127721,4425.922024753094,6765.176563657748,2209.554461402899,3339.0620208832743,4512.620117986717,,4851.226784293811
1895,6863.688903382246,5378.186150053576,4592.595592165823,4506.772497097526,9089.250621679754,2342.932037615099,6502.884787786229,5046.416677397625,4199.059080719727,2581.0114315064066,4376.414017727943,6044.532540927707,5432.111365951714,3755.853903020466,3635.5254804324754,1955.1367010392996,3159.034008301039,6581.360696785487,4423.5461663343885,6598.756044662168,2288.1199654405,3454.167785352261,4964.95851927954,,4868.5299317848685
1896,7252.693597298091,5441.529230670079,4667.371794240452,4349.9782185181975,9214.921163684794,2329.4951505625563,6643.355768267178,5165.854904320741,3847.2638898829855,2714.607388379794,4513.256336901488,6236.631601766207,5904.903484509596,3793.4911766698765,3688.580627115291,1829.2440544482877,3216.37889618445,6248.718133620209,4486.724638488404,6902.671715530054,2303.5829452702123,3554.202348602877,4773.279818011912,,4931.354099068176
1897,6731.195825366516,5460.279098286838,4712.398770853421,4773.930173320054,9577.186030662422,2252.580742315361,6734.106241441555,5215.40170417135,4024.77548357622,2806.3025166812936,4380.858930118768,6258.574773515013,4963.850541756361,3826.3529691554268,3691.4175199417923,1848.0836067346058,3381.4442948531673,6782.8844723616,4658.526947858756,7427.976056923526,2419.8135940797106,3700.8977020074276,5079.104495046149,,4949.042932854921
1898,7658.814853925252,5717.84923188128,4747.299286658534,4910.68029521226,9634.822747237997,2498.0433922615043,6996.630934844651,5227.435746300391,4315.672599282913,2884.604429307869,4638.088739962301,6499.627838545415,5305.951879424574,3859.3893413027154,3680.945815748251,2173.399956504187,3523.9155255892306,6829.169655690152,4628.014335146229,7467.912737101215,2486.8096254180778,3803.013492092403,5118.242943842429,,5143.194430701789
1899,7557.139988619823,5773.374461491089,4797.980699674984,5313.95584451063,9993.583462712753,2486.673718601662,6885.354356179272,5377.721747787287,4365.389905572967,2778.7394721304795,4800.046884159624,6704.0053996512,5361.673721483928,3896.0607691383293,3718.2103546006756,1989.3725968930937,3304.1473627220435,6838.585105368074,4705.641929257643,7608.033915512876,2557.2726560956307,3971.704393002705,5630.06735750857,,5171.373400487783
1900,7899.1265578305865,5757.631063660383,4894.640363992774,5533.787702593331,9988.933590239056,2397.404733978729,6879.45117071274,5495.247856366541,4440.779244928095,2885.116243120856,4859.501858531602,6593.70816080319,4738.747685751108,3947.0711681727366,3822.0651800294663,2052.6777516814145,3280.8891473892754,6757.415513812164,4709.415366071482,7850.4553803568915,2666.614866522643,3938.035290585308,5642.4428175301655,,5204.976723209264
1901,7555.418431124973,5884.191793380245,4858.768798183872,5886.409368881581,9758.710209305069,2564.8368054543675,6834.55021874028,5654.809690097501,4726.0214864786285,2829.7655813994875,4617.205142626722,6532.911053923045,4510.539078754679,3988.208117448706,3876.84619612499,2099.5777422276906,3521.85993407042,6788.996909344681,4773.264762018795,8201.050954099328,2599.3220160898663,3990.6618588176584,6222.912647110423,,5177.468289178175
1902,7523.655978377039,5904.303470262202,4851.244048149443,6331.481881456744,9858.03637502777,2667.2849635574603,6871.086938336308,5721.966159611308,4557.148863653981,2752.658729396575,4558.190629224043,6642.835179273041,5739.732243444398,4022.5146374590754,3937.0227424305995,1964.6050107595079,3237.7579460170223,6993.2875360960115,4803.954311841507,8212.773227793467,2591.9947442202715,3959.3944505995337,6202.798354012866,,5213.991468583922
1903,8022.860969454163,5905.497147842378,4873.122376437775,6336.6206924017415,9543.730876450762,2370.9279468755444,7033.003441806527,5993.813456689701,4546.6188250513005,2913.0386722200124,4706.845115035712,6517.084811866241,5570.843401423688,4051.561541039922,3976.4331832008493,2075.50001917862,3561.707419719158,7031.1525115088325,4746.566341467795,8627.328926623299,2606.9661401385733,4159.0010438214,6265.795353273544,,5308.395812081909
1904,8452.907514033552,5948.4157778344525,4917.923331275717,6233.85515720415,9924.923193194098,2600.977879180603,7184.990359514097,6058.085789311943,4500.34568490473,2995.2952501246145,4796.699697098274,6499.950536180883,5834.9570404718925,4080.7430164433645,4041.713367226881,2067.6004134123204,3584.72414644,6976.469901093155,4736.952626894413,8937.804694133263,2619.018218787584,4296.052006749296,6383.7941200857795,,5397.8729101698655
1905,8427.791626982555,6242.003867010602,4980.5277242716475,6770.3664552257815,10197.416369178838,2541.4946027522055,7420.8868974211855,6095.237078538819,4418.453937960146,3013.5309217770055,4915.074969094184,6635.781600537811,5940.243029884259,4110.053810114758,4127.569557764616,2013.0714910152428,3914.641275887298,7094.769856512995,4748.083916314014,8854.62772707579,2524.7876378278706,4274.39563242623,6841.218660205766,,5525.922615737965
1906,8871.459501398318,6408.697720149309,5013.886980436442,7310.939894270336,10959.902573750005,2737.0080549029644,7342.629471469917,6196.930398063873,4602.469695177625,3103.853786581427,4843.185942687475,6798.149662514925,5827.499094045004,4130.094100452059,4265.788157722035,2257.5014748956946,3829.5644482456037,7240.857964637161,4923.633047276368,9499.082387929213,2519.9568476228796,4603.730893315251,6989.201874320571,,5544.3058997243215
1907,9086.07824993883,6761.07126870678,5036.301783294084,7365.385544657073,10925.883241135038,2932.861503283832,7492.070062501386,6350.828976439542,4714.556082758526,3172.832671274728,5230.085355309395,6867.867033762208,5867.970817268346,4159.582706741896,4342.128073668792,2306.1334911872586,4009.2313443273665,7148.168180202298,5115.395920951068,9819.908903906704,2558.414205514086,4883.80442075984,6753.423578024243,,5717.484640647641
