Year,AUS,AUT,BEL,CAN,CHE,CHL,DEU,DNK,ESP,FIN,FRA,GBR,GRC,IRL,ITA,JPN,MEX,NLD,NOR,NZL,PRT,SWE,USA,,Euro Area
1890,11.374335111916556,4.833729116549806,3.5377983673202023,1.2916699127529672,5.9113182982203885,1.837791959835016,4.670553036096297,3.6989829276148662,4.29634712497329,2.1834265074668897,2.9278976916806037,5.873450155829847,6.217605611144622,1.876851495800989,2.10749949117707,1.0742243778665153,2.8942331536638357,6.708626859733208,3.899048373900953,6.23623475054013,1.8820041868280633,2.724927627709084,4.768773575106362,,3.546982919397158
1891,11.445769629287158,5.01161777217111,3.5020040815818967,1.3187999697197583,5.489549060418479,1.995778129764089,4.68791763101849,3.77365269221037,4.3770782400278065,2.173254855588666,2.934111022738387,5.8977467769466205,5.369303000286786,1.9107817968967835,2.1798374764707678,1.0216610340344585,2.9585974796755288,6.510125927904344,3.9612554928399955,6.287425436562694,1.8567977890980298,2.654553469082331,4.81773630754238,,3.565327470410161
1892,9.481434172616337,5.132809808548738,3.548306917156542,1.3074367474962132,5.877292828200202,1.9639839850875025,4.747974381240015,3.860016404984477,4.6803473931633315,2.0832926146119854,2.979204033994661,5.861027730255053,5.544152365479624,1.9452641986880634,2.213708864852856,1.0885220538240659,3.0192348072623174,6.550306629327771,3.9983650498954955,6.193094169937757,1.8501200387739771,2.8636511580115545,4.738616194851168,,3.6380790037385435
1893,8.592915590539933,5.167969160250893,3.5613223946479713,1.2961370202446207,6.0232256350311575,2.0703748646058413,5.075417118544243,3.9209879146641087,4.494373534355564,2.1581243104150025,2.889466248587851,5.873223711778019,5.841462834200356,1.9803072576808836,2.2781100465532305,1.0863555019666837,3.0770119296988065,6.534439724693022,4.066010562470563,6.228364500819859,1.8921824933261562,3.016372510867794,5.14465357515373,,3.7246133598590467
1894,8.522746057798644,5.470666372257311,3.574467280306885,1.3535299446118059,5.799247195262843,2.045282403000802,5.182170378979004,3.968002751733599,4.5222847360898975,2.2742845335221635,3.1373474650485456,6.162245615704212,5.914233981167089,2.015920302000472,2.2810406000941836,1.2148181164976153,3.1312942062491715,6.61366399482361,4.053024243596295,6.127693426067816,1.8749146731657396,3.0133503628337324,5.256278258971231,,3.8348373152108195
1895,7.69871774104459,5.619116737364648,3.5973924759850466,1.3345606052780044,6.347247664953074,2.198732355215174,5.271540296384357,4.183286255581159,4.461256212605861,2.317751567214161,3.071561524926489,6.209906929384698,5.632724071938551,2.0521120583808736,2.2880907807419204,1.2303091857681776,3.17515616040854,6.741440703612479,4.064819427186282,5.881291998480299,1.9665480373196371,3.096299974164125,5.479693723026901,,3.846589337595394
1896,7.946458955401337,5.7221709470378865,3.6607963649292743,1.2967382208946954,6.409307584159868,2.1858941155102096,5.371002816883287,4.320943114233286,4.081176120136879,2.4012259587700955,3.151326725693517,6.239126862254485,6.120055130542108,2.0888917663479214,2.300162167918873,1.1613668842265497,3.2104349452051375,6.398063664635584,4.142975079552132,6.059834792212249,2.002934167170072,3.1577091444337113,5.274366954830302,,3.881497530006116
1897,7.207873003902274,5.8326626401838215,3.7006435896873597,1.4330580086040923,6.636170511431636,2.1129051189590515,5.45691111931367,4.407102030303223,4.274354737574315,2.489693893236406,3.0690302818051496,6.255374423746435,5.150558973948926,2.126268637467101,2.2695557082143902,1.1795461181784048,3.3606936780744245,6.948501759027353,4.324445760263071,6.524175051185456,2.130696464143884,3.3446201151372428,5.597947711824199,,3.8925915991527353
1898,8.043417683986693,6.176306272427138,3.733970166264564,1.4856703376120202,6.654445981598434,2.3416145575456,5.6789385637906875,4.4564978649851446,4.5789596636471295,2.59291184949833,3.2420007436257396,6.454537722539669,5.504949328302664,2.1642523077656435,2.2677312470423963,1.3962669358890194,3.4881207228804416,7.001736762345001,4.322692977294881,6.56942509644757,2.212336882324261,3.431691451317229,5.5605375311810175,,4.05095871391347
1899,7.810124858535938,6.305723813467848,3.781158326485607,1.6207217779427256,6.879100504854828,2.328844447749725,5.5980927559894464,4.6216602369036055,4.63378463966948,2.5390215011275776,3.344220807772776,6.59337279531638,5.566974330433034,2.2028527257540484,2.266786242292054,1.2909662531588,3.257895448258115,7.014413781093606,4.418058100697319,6.706237516508385,2.299055463621554,3.561787816334379,5.704770744976485,,4.066464297470524
